epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,3.604944944381714,0.027829313543599257,0.014737717172971922,0.027251266988109098,0.01592592939796885
1.0,1.1579291820526123,0.7476808905380334,0.7792043577297151,0.7477002540751737,0.7424090786554103
2.0,0.8081230521202087,0.7894248608534323,0.8119288360107558,0.7879489796104018,0.7875950568318202
3.0,0.6755587458610535,0.8209647495361782,0.8404970959892946,0.819065451774639,0.8168022459905957
4.0,0.5913384556770325,0.8441558441558441,0.8570678733533164,0.8418873354509807,0.8428472654644565
5.0,0.55024653673172,0.8441558441558441,0.8529238120180338,0.8436322433653535,0.843405398939277
6.0,0.5266356468200684,0.8571428571428571,0.8649427252147893,0.8555196671221056,0.8567530878586334
7.0,0.510631799697876,0.8515769944341373,0.8567072101061102,0.8501061498548107,0.8501958612011248
8.0,0.500712513923645,0.8571428571428571,0.8665807039770773,0.8555212767955729,0.8560247004849036
9.0,0.49342700839042664,0.8543599257884972,0.863213677409676,0.8529843632321167,0.8519600817256406
10.0,0.4959670305252075,0.852504638218924,0.8654515443524732,0.8513424826621508,0.8506487334996979
11.0,0.4634915590286255,0.8682745825602969,0.8719045389949845,0.8670402731500956,0.8668992477397558
12.0,0.46009063720703125,0.8682745825602969,0.871745752019233,0.867285859269423,0.867720753641787
13.0,0.45247122645378113,0.8692022263450835,0.8724419732074831,0.8679779332982821,0.867922433757002
14.0,0.4537821114063263,0.862708719851577,0.8660346626873934,0.8616645150440743,0.8620294606386236
15.0,0.45685461163520813,0.8636363636363636,0.8704501150800833,0.8623252613414929,0.8625658115992704
16.0,0.4457208812236786,0.865491651205937,0.8678841474814833,0.8645576401411467,0.8641737471539765
17.0,0.4438048005104065,0.865491651205937,0.8709308158996574,0.8643235954334176,0.8648647322662898
18.0,0.4372868537902832,0.87569573283859,0.8788589960908892,0.8745749677900533,0.8749965432638604
19.0,0.44150498509407043,0.8747680890538033,0.8778453684153344,0.873857421919706,0.8737540293166262
20.0,0.44077739119529724,0.87291280148423,0.8777625790048182,0.872217335207024,0.8725351932457431
21.0,0.4380277395248413,0.87291280148423,0.8767437239852758,0.8715159705931251,0.87193414136841
22.0,0.43082430958747864,0.87569573283859,0.8782957090567398,0.8746014228165083,0.8743342229063126
23.0,0.4308193624019623,0.8747680890538033,0.8782563381062687,0.8741975706885182,0.8744656680860439
24.0,0.43737486004829407,0.8738404452690167,0.8775046905600635,0.8730231203761368,0.8732703782069167
25.0,0.43537580966949463,0.8701298701298701,0.8744738788742442,0.8692972653344924,0.8695706740247158
26.0,0.4302634596824646,0.8775510204081632,0.881203598183376,0.8764686780322207,0.8768943828357868
27.0,0.43486934900283813,0.8738404452690167,0.878730309541363,0.8727071413759473,0.8729091772687911
28.0,0.4348486661911011,0.8682745825602969,0.872161005481297,0.8674279455704358,0.867508664143797
29.0,0.43644142150878906,0.8673469387755102,0.8716788555716946,0.866051526371875,0.8659537470658873
30.0,0.4376586973667145,0.87291280148423,0.8757386891050098,0.8718313783949212,0.8715606677313112
